batter_id,bowler_id,total_runs_scored,total_balls_faced,total_encounters,dot_balls,boundary_count,total_dismissals,strike_rate,batting_average,bowling_strike_rate
234675,230558,49,51,13,24,4,3,96.08,16.33,17.0
33335,35731,98,60,13,21,15,1,163.33,98.0,60.0
28235,326016,89,83,13,46,16,3,107.23,29.67,27.67
554691,230558,50,44,13,18,5,4,113.64,12.5,11.0
33141,430246,63,83,13,35,3,4,75.9,15.75,20.75
28235,625383,105,85,13,32,15,1,123.53,105.0,85.0
30045,430246,49,54,13,19,3,3,90.74,16.33,18.0
33335,326016,79,59,13,22,12,3,133.9,26.33,19.67
34102,940973,104,73,13,34,17,1,142.47,104.0,73.0
28235,32966,105,64,13,12,14,3,164.06,35.0,21.33
44936,625383,131,87,13,33,18,3,150.57,43.67,29.0
279810,376116,111,74,12,29,18,2,150.0,55.5,37.0
33335,30732,85,46,12,11,11,3,184.78,28.33,15.33
277916,230558,76,61,12,20,11,4,124.59,19.0,15.25
425943,554691,70,62,12,17,5,2,112.9,35.0,31.0
277916,26421,54,57,12,23,4,6,94.74,9.0,9.5
33335,438362,110,53,12,15,19,2,207.55,55.0,26.5
28081,32130,98,96,12,40,8,6,102.08,16.33,16.0
28235,51439,132,83,12,23,22,3,159.04,44.0,27.67
1070173,447261,101,73,12,27,15,4,138.36,25.25,18.25
28235,30732,78,67,12,27,11,4,116.42,19.5,16.75
279810,230558,74,60,12,24,9,4,123.33,18.5,15.0
28081,326016,102,58,12,15,13,0,175.86,102.0,0.0
277916,32966,146,100,12,28,20,3,146.0,48.67,33.33
33335,430246,99,72,12,27,13,4,137.5,24.75,18.0
325026,26421,141,71,12,18,20,4,198.59,35.25,17.75
642519,234675,74,75,12,25,7,1,98.67,74.0,75.0
33335,49758,71,58,12,20,7,1,122.41,71.0,58.0
28763,29264,84,76,12,27,9,4,110.53,21.0,19.0
34102,276298,97,61,12,19,15,1,159.02,97.0,61.0
290630,554691,43,64,12,29,2,2,67.19,21.5,32.0
253802,481896,107,76,12,24,17,5,140.79,21.4,15.2
422108,277912,108,71,12,30,19,3,152.11,36.0,23.67
931581,471342,80,47,12,16,13,3,170.21,26.67,15.67
237095,49758,43,46,12,21,5,0,93.48,43.0,0.0
30045,31107,88,61,12,15,11,2,144.26,44.0,30.5
28235,277912,86,76,12,34,14,1,113.16,86.0,76.0
379143,326016,57,58,12,28,7,1,98.28,57.0,58.0
34102,30732,81,60,12,26,12,1,135.0,81.0,60.0
34102,537119,81,61,12,23,12,1,132.79,81.0,61.0
422108,447261,159,100,12,40,25,0,159.0,159.0,0.0
253802,537119,90,62,12,16,11,0,145.16,90.0,0.0
44828,430246,44,50,12,13,1,3,88.0,14.67,16.67
34102,438362,38,44,12,27,5,5,86.36,7.6,8.8
253802,51439,157,103,12,32,21,1,152.43,157.0,103.0
28235,234675,119,79,12,14,11,1,150.63,119.0,79.0
425943,430246,61,52,12,19,6,5,117.31,12.2,10.4
290630,31107,76,67,12,27,8,3,113.43,25.33,22.33
8180,31107,79,68,12,28,8,5,116.18,15.8,13.6
28763,30102,109,77,12,29,17,6,141.56,18.17,12.83
234675,32966,70,57,12,24,8,3,122.81,23.33,19.0
277916,554691,84,68,11,18,9,2,123.53,42.0,34.0
497121,430246,53,39,11,10,6,4,135.9,13.25,9.75
28235,430246,106,78,11,18,11,3,135.9,35.33,26.0
277916,625383,49,41,11,15,6,0,119.51,49.0,0.0
33141,376116,67,51,11,19,9,0,131.37,67.0,0.0
44936,438362,107,54,11,12,16,2,198.15,53.5,27.0
36084,29264,45,58,11,27,2,1,77.59,45.0,58.0
32498,49758,74,55,11,16,10,0,134.55,74.0,0.0
497121,554691,62,47,11,11,5,0,131.91,62.0,0.0
28235,447261,87,74,11,25,10,1,117.57,87.0,74.0
33335,45789,72,62,11,20,8,2,116.13,36.0,31.0
45789,46248,65,55,11,21,10,2,118.18,32.5,27.5
253802,236779,112,74,11,28,17,1,151.35,112.0,74.0
32498,51439,73,55,11,17,8,2,132.73,36.5,27.5
230559,26421,54,39,11,19,7,4,138.46,13.5,9.75
446507,554691,60,68,11,25,5,1,88.24,60.0,68.0
230559,32966,58,42,11,19,8,1,138.1,58.0,42.0
44936,554691,71,69,11,25,5,2,102.9,35.5,34.5
604527,326016,50,40,11,19,9,2,125.0,25.0,20.0
32498,326016,50,43,11,16,5,3,116.28,16.67,14.33
230559,793463,28,44,11,25,2,2,63.64,14.0,22.0
422108,430246,125,83,11,18,14,1,150.6,125.0,83.0
28763,49758,39,40,11,15,4,2,97.5,19.5,20.0
422108,230558,114,84,11,27,13,2,135.71,57.0,42.0
35582,30732,56,43,11,17,8,1,130.23,56.0,43.0
422108,326016,109,98,11,44,13,2,111.22,54.5,49.0
35582,31107,84,70,11,30,11,4,120.0,21.0,17.5
44936,49758,124,60,11,14,18,0,206.67,124.0,0.0
253802,277955,101,80,11,30,14,4,126.25,25.25,20.0
931581,234675,84,57,11,15,10,2,147.37,42.0,28.5
554691,326016,60,32,11,2,6,2,187.5,30.0,16.0
219889,32966,115,77,11,25,18,2,149.35,57.5,38.5
51880,29264,102,98,11,48,13,5,104.08,20.4,19.6
642519,430246,94,68,11,23,11,2,138.24,47.0,34.0
425943,234675,82,63,11,23,8,3,130.16,27.33,21.0
642519,326016,45,48,11,22,4,3,93.75,15.0,16.0
35582,554691,86,79,11,30,9,2,108.86,43.0,39.5
32498,35731,66,41,11,16,10,4,160.98,16.5,10.25
35582,234675,65,56,11,20,7,3,116.07,21.67,18.67
34102,46538,119,67,11,18,19,2,177.61,59.5,33.5
290630,430246,53,60,11,26,4,4,88.33,13.25,15.0
30045,51439,49,32,11,14,9,4,153.12,12.25,8.0
253802,1125976,101,57,11,14,17,2,177.19,50.5,28.5
34102,236779,56,46,11,21,9,3,121.74,18.67,15.33
290630,625383,81,43,11,6,12,0,188.37,81.0,0.0
219889,277955,71,71,11,28,6,2,100.0,35.5,35.5
308967,230558,62,57,11,25,6,1,108.77,62.0,57.0
554691,793463,87,65,11,21,10,2,133.85,43.5,32.5
321777,234675,111,66,11,16,14,2,168.18,55.5,33.0
230559,234675,114,51,11,11,17,2,223.53,57.0,25.5
321777,430246,95,54,11,11,10,2,175.93,47.5,27.0
308967,481896,86,65,11,34,15,2,132.31,43.0,32.5
30045,439952,33,32,11,15,4,4,103.12,8.25,8.0
34102,475281,80,59,11,26,12,1,135.59,80.0,59.0
321777,376116,55,40,11,14,7,2,137.5,27.5,20.0
30045,537119,83,78,11,33,11,0,106.41,83.0,0.0
219889,376116,99,66,11,25,13,5,150.0,19.8,13.2
219889,481896,109,78,11,33,17,2,139.74,54.5,39.0
219889,430246,156,95,11,21,17,2,164.21,78.0,47.5
446763,230558,93,73,11,24,11,2,127.4,46.5,36.5
44828,481896,118,66,11,22,20,2,178.79,59.0,33.0
720471,793463,78,65,11,24,9,2,120.0,39.0,32.5
277916,236779,65,57,11,25,9,2,114.04,32.5,28.5
1070168,447261,90,73,11,38,16,6,123.29,15.0,12.17
230559,430246,71,48,11,16,9,4,147.92,17.75,12.0
290630,29264,85,72,11,25,10,4,118.06,21.25,18.0
253802,276298,88,66,11,17,8,2,133.33,44.0,33.0
28235,8180,62,52,11,22,10,2,119.23,31.0,26.0
554691,234675,74,40,11,8,9,0,185.0,74.0,0.0
604527,554691,52,36,11,13,7,2,144.44,26.0,18.0
234675,438362,40,38,11,10,4,1,105.26,40.0,38.0
1070173,326016,66,64,11,32,8,4,103.12,16.5,16.0
28081,30102,74,40,11,13,10,7,185.0,10.57,5.71
32242,30732,52,54,11,30,7,3,96.3,17.33,18.0
253802,277912,83,65,11,30,13,1,127.69,83.0,65.0
642519,793463,100,84,11,32,11,2,119.05,50.0,42.0
379143,26421,85,75,11,28,11,4,113.33,21.25,18.75
325026,234675,70,50,11,15,9,6,140.0,11.67,8.33
219889,30732,124,84,11,36,19,3,147.62,41.33,28.0
642519,625383,74,55,11,17,10,1,134.55,74.0,55.0
32498,31107,94,60,11,23,13,1,156.67,94.0,60.0
425943,438362,59,58,11,27,7,2,101.72,29.5,29.0
45789,32130,89,83,10,33,7,3,107.23,29.67,27.67
277916,430246,46,45,10,14,3,4,102.22,11.5,11.25
277916,438362,75,77,10,36,8,2,97.4,37.5,38.5
604302,230558,37,38,10,13,2,2,97.37,18.5,19.0
33335,554691,63,48,10,8,6,2,131.25,31.5,24.0
34102,447261,60,49,10,20,9,3,122.45,20.0,16.33
446507,390481,53,39,10,10,7,1,135.9,53.0,39.0
34102,430246,39,38,10,7,2,1,102.63,39.0,38.0
28235,438362,94,65,10,26,15,2,144.62,47.0,32.5
28081,390481,25,35,10,18,2,4,71.43,6.25,8.75
425943,376116,119,68,10,26,19,3,175.0,39.67,22.67
670025,793463,84,58,10,25,11,3,144.83,28.0,19.33
33141,438362,72,46,10,15,11,3,156.52,24.0,15.33
219889,550215,112,62,10,22,18,3,180.65,37.33,20.67
237095,29264,43,54,10,21,1,3,79.63,14.33,18.0
35582,49758,76,75,10,40,11,1,101.33,76.0,75.0
398438,430246,72,44,10,16,11,7,163.64,10.29,6.29
425943,471342,95,70,10,10,9,1,135.71,95.0,70.0
219889,49758,74,53,10,19,10,2,139.62,37.0,26.5
35582,29264,77,48,10,15,11,2,160.42,38.5,24.0
425943,481896,82,43,10,14,15,1,190.7,82.0,43.0
277916,31107,96,77,10,22,8,3,124.68,32.0,25.67
237095,35731,51,40,10,16,8,0,127.5,51.0,0.0
33141,793463,93,75,10,27,11,1,124.0,93.0,75.0
34102,56143,92,71,10,21,10,1,129.58,92.0,71.0
277916,31872,90,69,10,15,8,4,130.43,22.5,17.25
34102,554691,63,68,10,27,6,3,92.65,21.0,22.67
277916,471342,61,53,10,16,7,4,115.09,15.25,13.25
28235,325026,82,50,10,10,11,3,164.0,27.33,16.67
253802,31820,60,54,10,27,9,6,111.11,10.0,9.0
219889,554691,95,59,10,15,11,2,161.02,47.5,29.5
237095,30102,34,39,10,18,2,0,87.18,34.0,0.0
28763,8180,60,64,10,30,7,3,93.75,20.0,21.33
219889,438362,93,76,10,38,15,2,122.37,46.5,38.0
625371,550215,55,40,10,17,7,2,137.5,27.5,20.0
325026,326016,39,33,10,13,5,2,118.18,19.5,16.5
37737,30102,90,65,10,26,12,2,138.46,45.0,32.5
279810,32966,100,60,10,20,12,3,166.67,33.33,20.0
44828,230558,42,54,10,18,1,2,77.78,21.0,27.0
234675,49758,27,27,10,8,1,3,100.0,9.0,9.0
51880,30732,103,83,10,43,17,1,124.1,103.0,83.0
37737,32966,63,60,10,31,9,4,105.0,15.75,15.0
1070173,550215,78,59,10,21,10,2,132.2,39.0,29.5
446507,276298,71,33,10,11,12,4,215.15,17.75,8.25
28081,31107,50,40,10,14,5,1,125.0,50.0,40.0
446507,230558,91,70,10,21,11,0,130.0,91.0,0.0
30045,32966,56,47,10,20,7,2,119.15,28.0,23.5
720471,26421,57,63,10,26,4,1,90.48,57.0,63.0
28081,29264,47,39,10,12,5,1,120.51,47.0,39.0
51880,625383,37,47,10,25,4,0,78.72,37.0,0.0
253802,447261,80,59,10,21,12,1,135.59,80.0,59.0
51880,438362,64,60,10,35,10,4,106.67,16.0,15.0
253802,439952,109,72,10,23,15,1,151.39,109.0,72.0
234675,326016,64,48,10,9,6,1,133.33,64.0,48.0
29264,51439,46,32,10,12,7,4,143.75,11.5,8.0
279810,625383,66,58,10,28,10,2,113.79,33.0,29.0
308967,554691,82,62,10,21,10,1,132.26,82.0,62.0
642519,276298,74,60,10,26,10,5,123.33,14.8,12.0
51880,26421,53,63,10,37,6,5,84.13,10.6,12.6
642519,940973,46,36,10,15,7,2,127.78,23.0,18.0
44828,554691,88,79,10,29,9,2,111.39,44.0,39.5
51880,32966,116,61,10,19,16,1,190.16,116.0,61.0
253802,390484,74,65,10,19,5,1,113.85,74.0,65.0
642519,471342,42,48,10,17,3,1,87.5,42.0,48.0
276298,625383,57,43,10,19,9,4,132.56,14.25,10.75
308967,625383,69,73,10,42,11,2,94.52,34.5,36.5
446507,550215,89,57,10,20,12,3,156.14,29.67,19.0
30045,438362,68,35,10,8,10,3,194.29,22.67,11.67
44936,230558,53,39,10,15,7,4,135.9,13.25,9.75
230558,326016,31,25,10,12,5,2,124.0,15.5,12.5
253802,46538,66,61,10,27,5,3,108.2,22.0,20.33
34102,390484,79,46,10,17,12,2,171.74,39.5,23.0
44936,32966,53,52,10,21,5,4,101.92,13.25,13.0
30045,793463,49,37,10,9,6,3,132.43,16.33,12.33
471342,430246,54,39,10,14,6,2,138.46,27.0,19.5
28081,230559,100,51,10,13,16,3,196.08,33.33,17.0
422108,471342,98,91,10,24,7,0,107.69,98.0,0.0
720471,554691,84,56,10,12,9,1,150.0,84.0,56.0
253802,625371,57,47,10,17,8,2,121.28,28.5,23.5
28235,475281,80,52,10,17,13,3,153.85,26.67,17.33
28081,45789,47,38,10,11,5,1,123.68,47.0,38.0
44936,326016,68,40,10,11,11,2,170.0,34.0,20.0
34102,32685,70,43,9,14,10,2,162.79,35.0,21.5
931581,230558,52,46,9,13,5,0,113.04,52.0,0.0
30045,29264,13,16,9,6,1,0,81.25,13.0,0.0
34102,35353,45,37,9,15,6,4,121.62,11.25,9.25
219889,51439,53,53,9,16,2,1,100.0,53.0,53.0
5390,32685,66,44,9,24,14,4,150.0,16.5,11.0
34102,31872,69,56,9,13,6,0,123.21,69.0,0.0
34102,31820,62,37,9,9,7,2,167.57,31.0,18.5
5390,47492,50,50,9,23,6,1,100.0,50.0,50.0
625371,51439,55,35,9,7,5,1,157.14,55.0,35.0
321777,32966,60,49,9,13,5,2,122.45,30.0,24.5
642519,230558,46,37,9,8,2,1,124.32,46.0,37.0
34102,30102,29,33,9,13,3,1,87.88,29.0,33.0
34102,36084,41,44,9,16,3,0,93.18,41.0,0.0
625371,26421,79,48,9,8,9,0,164.58,79.0,0.0
290630,234675,45,53,9,17,2,2,84.91,22.5,26.5
8180,49758,125,65,9,27,24,3,192.31,41.67,21.67
253802,662973,111,66,9,15,14,3,168.18,37.0,22.0
253802,32685,92,69,9,29,16,3,133.33,30.67,23.0
642519,438362,47,55,9,26,5,3,85.45,15.67,18.33
321777,277912,44,33,9,6,3,0,133.33,44.0,0.0
8180,56143,96,61,9,19,13,1,157.38,96.0,61.0
35582,625383,54,43,9,22,8,3,125.58,18.0,14.33
34102,47492,37,45,9,21,4,1,82.22,37.0,45.0
34102,40618,79,62,9,18,9,1,127.42,79.0,62.0
554691,430246,46,30,9,11,6,3,153.33,15.33,10.0
28114,32130,71,59,9,21,10,2,120.34,35.5,29.5
30045,390484,124,61,9,13,20,0,203.28,124.0,0.0
379143,550215,68,42,9,18,10,0,161.9,68.0,0.0
34102,277955,65,42,9,19,11,4,154.76,16.25,10.5
8180,554691,53,51,9,27,8,6,103.92,8.83,8.5
625371,694211,35,40,9,22,4,3,87.5,11.67,13.33
44828,49758,23,33,9,16,0,2,69.7,11.5,16.5
1161024,326016,78,46,9,19,14,4,169.57,19.5,11.5
30045,475281,34,27,9,7,3,1,125.93,34.0,27.0
398506,230558,58,42,9,12,7,2,138.1,29.0,21.0
290630,481896,35,39,9,18,3,3,89.74,11.67,13.0
253802,30732,69,58,9,28,9,1,118.97,69.0,58.0
8180,26421,76,46,9,10,11,2,165.22,38.0,23.0
30045,230558,51,41,9,13,6,1,124.39,51.0,41.0
35582,430246,44,39,9,13,4,3,112.82,14.67,13.0
8180,30732,67,39,9,11,11,2,171.79,33.5,19.5
30045,35731,57,48,9,18,7,2,118.75,28.5,24.0
35582,438362,69,55,9,26,11,2,125.45,34.5,27.5
35582,439952,53,39,9,15,8,2,135.9,26.5,19.5
931581,438362,28,32,9,13,3,1,87.5,28.0,32.0
30045,554691,64,44,9,9,8,2,145.45,32.0,22.0
8180,32966,87,50,9,18,12,3,174.0,29.0,16.67
230559,230558,40,37,9,9,2,1,108.11,40.0,37.0
379143,554691,84,51,9,13,11,1,164.71,84.0,51.0
931581,326016,120,54,9,14,20,1,222.22,120.0,54.0
931581,940973,87,48,9,16,12,4,181.25,21.75,12.0
425943,1125976,79,42,9,12,13,1,188.1,79.0,42.0
321777,31107,68,51,9,12,5,1,133.33,68.0,51.0
28763,46248,98,71,9,26,16,0,138.03,98.0,0.0
325026,625383,44,36,9,16,7,5,122.22,8.8,7.2
33335,26907,45,38,9,8,3,2,118.42,22.5,19.0
422108,376116,80,61,9,29,13,1,131.15,80.0,61.0
28763,32685,72,51,9,24,13,1,141.18,72.0,51.0
28235,232364,53,50,9,26,7,3,106.0,17.67,16.67
28763,35731,62,61,9,27,8,2,101.64,31.0,30.5
28763,47492,69,66,9,34,10,1,104.55,69.0,66.0
32498,49636,43,33,9,15,5,1,130.3,43.0,33.0
325026,471342,42,32,9,11,5,3,131.25,14.0,10.67
33335,32130,68,43,9,6,5,2,158.14,34.0,21.5
1070173,1125976,65,52,9,16,8,1,125.0,65.0,52.0
325026,430246,65,44,9,13,7,3,147.73,21.67,14.67
1070173,940973,65,44,9,13,8,1,147.73,65.0,44.0
33335,32685,65,41,9,19,11,1,158.54,65.0,41.0
28763,6033,47,35,9,16,8,3,134.29,15.67,11.67
422108,550215,79,47,9,17,11,4,168.09,19.75,11.75
44936,45789,36,42,9,16,2,1,85.71,36.0,42.0
604527,26421,141,72,9,15,20,1,195.83,141.0,72.0
422108,625371,96,55,9,10,11,1,174.55,96.0,55.0
253802,46248,73,52,9,16,7,2,140.38,36.5,26.0
33141,625383,60,43,9,18,8,2,139.53,30.0,21.5
604302,1108375,76,46,9,18,11,2,165.22,38.0,23.0
36084,33335,55,54,9,20,6,2,101.85,27.5,27.0
28235,940973,42,30,9,9,6,1,140.0,42.0,30.0
33141,390484,54,34,9,8,8,0,158.82,54.0,0.0
33141,390481,55,45,9,19,8,5,122.22,11.0,9.0
277916,793463,61,49,9,13,6,1,124.49,61.0,49.0
36084,26421,45,45,9,20,4,0,100.0,45.0,0.0
422108,940973,135,79,9,32,23,1,170.89,135.0,79.0
277916,537119,60,41,9,14,7,2,146.34,30.0,20.5
33141,51439,44,42,9,10,3,2,104.76,22.0,21.0
1070173,694211,71,57,9,16,8,4,124.56,17.75,14.25
28763,537119,43,38,9,15,6,1,113.16,43.0,38.0
234675,277912,51,33,9,4,4,1,154.55,51.0,33.0
446507,471342,47,35,9,9,6,1,134.29,47.0,35.0
32242,32685,75,50,9,21,13,1,150.0,75.0,50.0
32242,31820,62,34,9,12,13,2,182.35,31.0,17.0
