player_id,player_name,link,player_google_links,player_wikipedia_link,preferenced_player_name,full name,batting,bowling,,,nationality,role
424377, K Gowtham           , https://www.espncricinfo.com/cricketers/k-gowtham-424377            , https://www.google.com/search?q=site:wikipedia.org+K Gowtham+cricket+Player           , https://en.wikipedia.org/wiki/Krishnappa_Gowtham                    , Krishnappa Gowtham     ,                                                    , Right-handed, Right-arm off-break                       ,,, India (2021),All-rounder
470633, T Kohler-Cadmore    , https://www.espncricinfo.com/cricketers/t-kohlercadmore-470633      , https://www.google.com/search?q=site:wikipedia.org+T Kohler-Cadmore+cricket+Player    , https://en.wikipedia.org/wiki/Tom_Kohler-Cadmore                    , Tom Kohler-Cadmore     , Tom Kohler-Cadmore                                 , Right-handed, Right-arm off break                       ,,, ,Wicketkeeper-batsman
500268, AJ Turner           , https://www.espncricinfo.com/cricketers/aj-turner-500268            , https://www.google.com/search?q=site:wikipedia.org+AJ Turner+cricket+Player           , https://en.wikipedia.org/wiki/Arthur_Turner_(British_Army_officer)  , Arthur Turner          , Arthur Jervois Turner                              , Right-handed, Right-arm underarm medium pace            ,,, ,Batter
506612, MJ Henry            , https://www.espncricinfo.com/cricketers/mj-henry-506612             , https://www.google.com/search?q=site:wikipedia.org+MJ Henry+cricket+Player            , https://en.wikipedia.org/wiki/Matt_Henry_(cricketer)                , Matt Henry             , Matt Henry                                         , Right-handed, Right-arm fast-medium                     ,,, New Zealand (2014–present),Bowler
573170, L Wood              , https://www.espncricinfo.com/cricketers/l-wood-573170               , https://www.google.com/search?q=site:wikipedia.org+L Wood+cricket+Player              , https://en.wikipedia.org/wiki/Luke_Wood_(cricketer)                 , Luke Wood              ,                                                    , Left-handed , Left-arm fast-medium                      ,,, England (2022-present),Bowler
581379, SD Hope             , https://www.espncricinfo.com/cricketers/sd-hope-581379              , https://www.google.com/search?q=site:wikipedia.org+SD Hope+cricket+Player             , https://en.wikipedia.org/wiki/Shai_Hope                             , Shai Hope              , Shai Diego Hope                                    , Right-handed, Left-arm medium                           ,,, West Indies (2015–present),Wicketkeeper-batsman
592735, S Sandeep Warrier   , https://www.espncricinfo.com/cricketers/s-sandeep-warrier-592735    , https://www.google.com/search?q=site:wikipedia.org+S Sandeep Warrier+cricket+Player   , https://en.wikipedia.org/wiki/Sandeep_Warrier                       , Sandeep Warrier        , Sankarankutty Sandeep Warrier                      , Right-handed, Right-arm medium-fast                     ,,, India (2021),Bowler
642531, RK Bhui             , https://www.espncricinfo.com/cricketers/rk-bhui-642531              , https://www.google.com/search?q=site:wikipedia.org+RK Bhui+cricket+Player             , https://en.wikipedia.org/wiki/Ricky_Bhui                            , Ricky Bhui             , Ricky Kannakumar Bhui                              , Right-handed, Leg-Break googly                          ,,, ,Batter
670031, AS Joseph           , https://www.espncricinfo.com/cricketers/as-joseph-670031            , https://www.google.com/search?q=site:wikipedia.org+AS Joseph+cricket+Player           , https://en.wikipedia.org/wiki/Alzarri_Joseph                        , Alzarri Joseph         , Alzarri Shaheim Joseph                             , Right-handed, Right-arm fast                            ,,, West Indies (2016–present),Bowler
774223, JA Richardson       , https://www.espncricinfo.com/cricketers/ja-richardson-774223        , https://www.google.com/search?q=site:wikipedia.org+JA Richardson+cricket+Player       , https://en.wikipedia.org/wiki/Jhye_Richardson                       , Jhye Richardson        , Jhye Avon Richardson                               , Right-handed, Right-arm fast                            ,,, Australia (2017–present),Bowler
793447, Naveen-ul-Haq       , https://www.espncricinfo.com/cricketers/naveenulhaq-793447          , https://www.google.com/search?q=site:wikipedia.org+Naveen-ul-Haq+cricket+Player       , https://en.wikipedia.org/wiki/Naveen-ul-Haq                         , Naveen-ul-Haq          , Naveen-ul-Haq Murid                                , Right-handed, Right-arm medium-fast                     ,,, Afghanistan (2016–present),Bowler
851261, Anmolpreet Singh    , https://www.espncricinfo.com/cricketers/anmolpreet-singh-851261     , https://www.google.com/search?q=site:wikipedia.org+Anmolpreet Singh+cricket+Player    , https://en.wikipedia.org/wiki/Anmolpreet_Singh                      , Anmolpreet Singh       ,                                                    , Right-handed, Right-arm off-break                       ,,, ,Batter
853265, MK Lomror           , https://www.espncricinfo.com/cricketers/mk-lomror-853265            , https://www.google.com/search?q=site:wikipedia.org+MK Lomror+cricket+Player           , https://en.wikipedia.org/wiki/Mahipal_Lomror                        , Mahipal Lomror         , Mahipal Krishan Lomror                             , Left-handed , Slow left-arm orthodox                    ,,, ,All-rounder
917231, BR Sharath          , https://www.espncricinfo.com/cricketers/br-sharath-917231           , https://www.google.com/search?q=site:wikipedia.org+BR Sharath+cricket+Player          , https://en.wikipedia.org/wiki/BR_Sharath                            , BR Sharath             , Belur Ravi Sharath                                 , Right-handed,                                           ,,, ,Wicketkeeper-batsman
928067, JB Little           , https://www.espncricinfo.com/cricketers/jb-little-928067            , https://www.google.com/search?q=site:wikipedia.org+JB Little+cricket+Player           , https://en.wikipedia.org/wiki/Josh_Little                           , Joshua Little          , Joshua Brian Little                                , Right-handed, Left-arm fast                             ,,, Ireland (2016–present),Bowler
930189, Lalit Yadav         , https://www.espncricinfo.com/cricketers/lalit-yadav-930189          , https://www.google.com/search?q=site:wikipedia.org+Lalit Yadav+cricket+Player         , https://en.wikipedia.org/wiki/Lalit_Yadav_(Delhi_cricketer)         , Lalit Yadav            ,                                                    , Right-handed, Right-arm offbreak                        ,,, ,All-rounder
942367, MJ Dagar            , https://www.espncricinfo.com/cricketers/mj-dagar-942367             , https://www.google.com/search?q=site:wikipedia.org+MJ Dagar+cricket+Player            , https://en.wikipedia.org/wiki/Mayank_Dagar                          , Mayank Dagar           , Mayank Jitender Dagar                              , Right-handed, Slow left-arm orthodox                    ,,, ,Bowler
971349, N Burger            , https://www.espncricinfo.com/cricketers/n-burger-971349             , https://www.google.com/search?q=site:wikipedia.org+N Burger+cricket+Player            , https://en.wikipedia.org/wiki/Nandre_Burger                         , Nandre Burger          ,                                                    , Left-handed , Left-arm fast-medium                      ,,, South Africa (2023–present),Bowler
1070168, PP Shaw             , https://www.espncricinfo.com/cricketers/pp-shaw-1070168             , https://www.google.com/search?q=site:wikipedia.org+PP Shaw+cricket+Player             , https://en.wikipedia.org/wiki/Prithvi_Shaw                          , Prithvi Shaw           , Prithvi Pankaj Shaw                                , Right-handed, Right-arm off break                       ,,, India (2018–2021),Top-order
1076713, C Green             , https://www.espncricinfo.com/cricketers/c-green-1076713             , https://www.google.com/search?q=site:wikipedia.org+C Green+cricket+Player             , https://en.wikipedia.org/wiki/Chris_Green_(cricketer)               , Chris Green            , Christopher James Green                            , Right-handed, Right-arm off break                       ,,, Australia (2023),All-rounder
1081442, M Markande          , https://www.espncricinfo.com/cricketers/m-markande-1081442          , https://www.google.com/search?q=site:wikipedia.org+M Markande+cricket+Player          , https://en.wikipedia.org/wiki/Mayank_Markande                       , Mayank Markande        ,                                                    , Right-handed, Right-arm leg break                       ,,, India,Bowler
1083851, SS Prabhudessai     , https://www.espncricinfo.com/cricketers/ss-prabhudessai-1083851     , https://www.google.com/search?q=site:wikipedia.org+SS Prabhudessai+cricket+Player     , https://en.wikipedia.org/wiki/Suyash_Prabhudessai                   , Suyash Prabhudessai    , Suyash S Prabhudessai                              , Right-handed, Right-arm medium                          ,,, ,All-rounder
1111917, DG Nalkande         , https://www.espncricinfo.com/cricketers/dg-nalkande-1111917         , https://www.google.com/search?q=site:wikipedia.org+DG Nalkande+cricket+Player         , https://en.wikipedia.org/wiki/Darshan_Nalkande                      , Darshan Nalkande       , Darshan Girish Nalkande                            , Right-handed, Right-arm fast-medium                     ,,, ,Bowler
1122918, Kartik Tyagi        , https://www.espncricinfo.com/cricketers/kartik-tyagi-1122918        , https://www.google.com/search?q=site:wikipedia.org+Kartik Tyagi+cricket+Player        , https://en.wikipedia.org/wiki/Kartik_Tyagi                          , Kartik Tyagi           ,                                                    , Right-handed, Right arm fast                            ,,, ,Bowler
1123073, Anuj Rawat          , https://www.espncricinfo.com/cricketers/anuj-rawat-1123073          , https://www.google.com/search?q=site:wikipedia.org+Anuj Rawat+cricket+Player          , https://en.wikipedia.org/wiki/Anuj_Rawat                            , Anuj Rawat             ,                                                    , Left-handed ,                                           ,,, ,Wicketkeeper-batsman
1125960, TK Kotian           , https://www.espncricinfo.com/cricketers/tk-kotian-1125960           , https://www.google.com/search?q=site:wikipedia.org+TK Kotian+cricket+Player           , https://en.wikipedia.org/wiki/Tanush_Kotian                         , Tanush Kotian          , Tanush Karunakar Kotian                            , Right-handed, Right-arm off break                       ,,, ,All-rounder
1131607, SZ Mulani           , https://www.espncricinfo.com/cricketers/sz-mulani-1131607           , https://www.google.com/search?q=site:wikipedia.org+SZ Mulani+cricket+Player           , https://en.wikipedia.org/wiki/Shams_Mulani                          , Shams Mulani           , Shams Zakir Mulani                                 , Left-handed , Slow Left arm orthodox                    ,,, ,All-rounder
1132005, Mohsin Khan         , https://www.espncricinfo.com/cricketers/mohsin-khan-1132005         , https://www.google.com/search?q=site:wikipedia.org+Mohsin Khan+cricket+Player         , https://en.wikipedia.org/wiki/Mohsin_Khan_(cricketer)               , Mohsin Hassan Khan     , Mohsin Hasan Khan                                  , Right-handed, Right-arm medium                          ,,, Pakistan (1977–1986),Batter
1132219, Sanvir Singh        , https://www.espncricinfo.com/cricketers/sanvir-singh-1132219        , https://www.google.com/search?q=site:wikipedia.org+Sanvir Singh+cricket+Player        , https://en.wikipedia.org/wiki/Sanvir_Singh                          , Sanvir Singh           ,                                                    , Right-handed, Right arm medium                          ,,, ,All-rounder
1148776, AS Tendulkar        , https://www.espncricinfo.com/cricketers/as-tendulkar-1148776        , https://www.google.com/search?q=site:wikipedia.org+AS Tendulkar+cricket+Player        , https://en.wikipedia.org/wiki/Sachin_Tendulkar                      , Sachin Tendulkar       , Sachin Ramesh Tendulkar                            , Right-handed, Right-arm leg break Right-arm off break   ,,, India (1989–2013),Top-order
1153149, V Viyaskanth        , https://www.espncricinfo.com/cricketers/v-viyaskanth-1153149        , https://www.google.com/search?q=site:wikipedia.org+V Viyaskanth+cricket+Player        , https://en.wikipedia.org/wiki/Vijayakanth_Viyaskanth                , Vijayakanth Viyaskanth ,                                                    , Right-handed, Right arm leg break                       ,,, Sri Lanka,Bowler
1155262, V Kaverappa         , https://www.espncricinfo.com/cricketers/v-kaverappa-1155262         , https://www.google.com/search?q=site:wikipedia.org+V Kaverappa+cricket+Player         , https://en.wikipedia.org/wiki/Vidwath_Kaverappa                     , Vidwath Kaverappa      ,                                                    , Right-handed, Right-arm fast-medium                     ,,, ,Bowler
1159734, Sumit Kumar         , https://www.espncricinfo.com/cricketers/sumit-kumar-1159734         , https://www.google.com/search?q=site:wikipedia.org+Sumit Kumar+cricket+Player         , https://en.wikipedia.org/wiki/Sumit_Kumar                           , Sumit Kumar            ,                                                    , Right-handed, Right-arm offbreak                        ,,, ,Wicketkeeper-batsman
1163695, KR Sen              , https://www.espncricinfo.com/cricketers/kr-sen-1163695              , https://www.google.com/search?q=site:wikipedia.org+KR Sen+cricket+Player              , https://en.wikipedia.org/wiki/Kuldeep_Sen                           , Kuldeep Sen            , Kuldeep Rampal Sen                                 , Right-handed, Right arm fast                            ,,, India (2022),Bowler
1175426, MJ Suthar           , https://www.espncricinfo.com/cricketers/mj-suthar-1175426           , https://www.google.com/search?q=site:wikipedia.org+MJ Suthar+cricket+Player           , https://en.wikipedia.org/wiki/Manav_Suthar                          , Manav Suthar           , Manav Jagdusakumar Suthar                          , Left-handed , Slow left-arm orthodox                    ,,, ,All-rounder
1207295, K Kushagra          , https://www.espncricinfo.com/cricketers/k-kushagra-1207295          , https://www.google.com/search?q=site:wikipedia.org+K Kushagra+cricket+Player          , https://en.wikipedia.org/wiki/Kumar_Kushagra                        , Kumar Kushagra         ,                                                    , Right-handed,                                           ,,, ,Wicketkeeper-batsman
1246528, Umran Malik         , https://www.espncricinfo.com/cricketers/umran-malik-1246528         , https://www.google.com/search?q=site:wikipedia.org+Umran Malik+cricket+Player         , https://en.wikipedia.org/wiki/Umran_Malik                           , Umran Malik            ,                                                    , Right-handed, Right-arm fast                            ,,, India (2022–present),Bowler
1287369, SD Chauhan          , https://www.espncricinfo.com/cricketers/sd-chauhan-1287369          , https://www.google.com/search?q=site:wikipedia.org+SD Chauhan+cricket+Player          ,                                                                     ,                        ,                                                    ,Left hand Bat,Right arm Offbreak,,, ,Top-order
1350761, H Sharma            , https://www.espncricinfo.com/cricketers/h-sharma-1350761            , https://www.google.com/search?q=site:wikipedia.org+H Sharma+cricket+Player            , https://en.wikipedia.org/wiki/Himanshu_Sharma_(cricketer)           , Himanshu Sharma        ,                                                    , Right-handed, Right-arm leg-break                       ,,, ,Bowler
1356971, S Joseph            , https://www.espncricinfo.com/cricketers/s-joseph-1356971            , https://www.google.com/search?q=site:wikipedia.org+S Joseph+cricket+Player            , https://en.wikipedia.org/wiki/Shamar_Joseph                         , Shamar Joseph          ,                                                    , Left-handed , Right-arm fast                            ,,, West Indies (2024–present),Bowler
1380113, Shivam Singh        , https://www.espncricinfo.com/cricketers/shivam-singh-1380113        , https://www.google.com/search?q=site:wikipedia.org+Shivam Singh+cricket+Player        ,                                                                     ,                        ,                                                    ,Right hand Bat,Right arm Offbreak,,, ,All-rounder
1403153, AA Kulkarni         , https://www.espncricinfo.com/cricketers/aa-kulkarni-1403153         , https://www.google.com/search?q=site:wikipedia.org+AA Kulkarni+cricket+Player         ,                                                                     ,                        ,                                                    ,Right hand Bat,Right arm Medium,,, ,All-rounder
8917, MM Ali              , https://www.espncricinfo.com/cricketers/mm-ali-8917                 , https://www.google.com/search?q=site:wikipedia.org+MM Ali+cricket+Player              , https://en.wikipedia.org/wiki/Moeen_Ali                             , Moeen AliOBE           , Moeen Munir Ali                                    , Left-handed , Right-arm off break                       ,,, England (2014–2024),All-rounder
26421, R Ashwin            , https://www.espncricinfo.com/cricketers/r-ashwin-26421              , https://www.google.com/search?q=site:wikipedia.org+R Ashwin+cricket+Player            , https://en.wikipedia.org/wiki/Ravichandran_Ashwin                   , Ravichandran Ashwin    ,                                                    , Right-handed, Right-arm off-break                       ,,, India (2010–2024),All-rounder
28081, MS Dhoni            , https://www.espncricinfo.com/cricketers/ms-dhoni-28081              , https://www.google.com/search?q=site:wikipedia.org+MS Dhoni+cricket+Player            , https://en.wikipedia.org/wiki/MS_Dhoni                              ,                        , Mahendra Singh Dhoni                               , Right-handed, Right-arm medium                          ,,, India (2004–2019),Wicketkeeper-batsman
30288, KV Sharma           , https://www.espncricinfo.com/cricketers/kv-sharma-30288             , https://www.google.com/search?q=site:wikipedia.org+KV Sharma+cricket+Player           , https://en.wikipedia.org/wiki/Karn_Sharma                           , Karn Sharma            , Karn Vinod Sharma                                  , Left-handed , Right arm leg break googly                ,,, India (2014),All-rounder
34102, RG Sharma           , https://www.espncricinfo.com/cricketers/rg-sharma-34102             , https://www.google.com/search?q=site:wikipedia.org+RG Sharma+cricket+Player           , https://en.wikipedia.org/wiki/Rohit_Sharma                          , Rohit Sharma           , Rohit Gurunath Sharma                              , Right-handed, Right-arm off break                       ,,, India (2007–present),Top-order
44828, F du Plessis        , https://www.espncricinfo.com/cricketers/f-du-plessis-44828          , https://www.google.com/search?q=site:wikipedia.org+F du Plessis+cricket+Player        , https://en.wikipedia.org/wiki/Faf_du_Plessis                        , Faf du Plessis         , François du Plessis                                , Right-handed, Right-arm leg-break                       ,,, South Africa (2011–2021),Middle-order
230558, SP Narine           , https://www.espncricinfo.com/cricketers/sp-narine-230558            , https://www.google.com/search?q=site:wikipedia.org+SP Narine+cricket+Player           , https://en.wikipedia.org/wiki/Sunil_Narine                          , Sunil Narine           , Sunil Philip Narine                                , Left-handed , Right-arm off break                       ,,, West Indies (2011–2019),All-rounder
234675, RA Jadeja           , https://www.espncricinfo.com/cricketers/ra-jadeja-234675            , https://www.google.com/search?q=site:wikipedia.org+RA Jadeja+cricket+Player           , https://en.wikipedia.org/wiki/Ravindra_Jadeja                       , Ravindra Jadeja        , Ravindrasinh Anirudhsinh Jadeja                    , Left-handed , Slow left-arm orthodox                    ,,, India (2009–present),All-rounder
236779, I Sharma            , https://www.espncricinfo.com/cricketers/i-sharma-236779             , https://www.google.com/search?q=site:wikipedia.org+I Sharma+cricket+Player            , https://en.wikipedia.org/wiki/Ishant_Sharma                         , Ishant Sharma          , Ishant Sharma                                      , Right-handed, Right-arm fast-medium                     ,,, India (2007–2021),Bowler
253802, V Kohli             , https://www.espncricinfo.com/cricketers/v-kohli-253802              , https://www.google.com/search?q=site:wikipedia.org+V Kohli+cricket+Player             , https://en.wikipedia.org/wiki/Virat_Kohli                           , Virat Kohli            ,                                                    , Right-handed, Right-arm medium                          ,,, India (2008–present),Top-order
272450, MR Marsh            , https://www.espncricinfo.com/cricketers/mr-marsh-272450             , https://www.google.com/search?q=site:wikipedia.org+MR Marsh+cricket+Player            , https://en.wikipedia.org/wiki/Mitchell_Marsh                        , Mitch Marsh            , Mitchell Ross Marsh                                , Right-handed, Right-arm medium                          ,,, Australia (2011–present),Batter
276298, AD Russell          , https://www.espncricinfo.com/cricketers/ad-russell-276298           , https://www.google.com/search?q=site:wikipedia.org+AD Russell+cricket+Player          , https://en.wikipedia.org/wiki/Andre_Russell                         , Andre Russell          , Andre Dwayne Russell                               , Right-handed, Right-arm fast                            ,,, West Indies (2010–2025),All-rounder
277912, TA Boult            , https://www.espncricinfo.com/cricketers/ta-boult-277912             , https://www.google.com/search?q=site:wikipedia.org+TA Boult+cricket+Player            , https://en.wikipedia.org/wiki/Trent_Boult                           , Trent Boult            , Trent Alexander Boult                              , Right-handed, Left-arm fast-medium                      ,,, New Zealand (2011–2024),Bowler
277916, AM Rahane           , https://www.espncricinfo.com/cricketers/am-rahane-277916            , https://www.google.com/search?q=site:wikipedia.org+AM Rahane+cricket+Player           , https://en.wikipedia.org/wiki/Ajinkya_Rahane                        , Ajinkya Rahane         , Ajinkya Madhukar Rahane                            , Right-handed, Right-arm off spin                        ,,, India (2011–2023),Batter
288284, JR Hazlewood        , https://www.espncricinfo.com/cricketers/jr-hazlewood-288284         , https://www.google.com/search?q=site:wikipedia.org+JR Hazlewood+cricket+Player        , https://en.wikipedia.org/wiki/Josh_Hazlewood                        , Josh Hazlewood         , Josh Reginald Hazlewood                            , Left-handed , Right-arm fast-medium                     ,,, Australia (2010–present),Bowler
290630, MK Pandey           , https://www.espncricinfo.com/cricketers/mk-pandey-290630            , https://www.google.com/search?q=site:wikipedia.org+MK Pandey+cricket+Player           , https://en.wikipedia.org/wiki/Manish_Pandey                         , Manish Pandey          , Manish Krishnanand Pandey                          , Right-handed, Right-arm medium                          ,,, India (2015–2021),Top-order
297433, JM Bairstow         , https://www.espncricinfo.com/cricketers/jm-bairstow-297433          , https://www.google.com/search?q=site:wikipedia.org+JM Bairstow+cricket+Player         , https://en.wikipedia.org/wiki/Jonny_Bairstow                        , Jonny Bairstow         , Jonathan Marc Bairstow                             , Right-handed,                                           ,,, England (2011–present),Wicketkeeper-batsman
308967, JC Buttler          , https://www.espncricinfo.com/cricketers/jc-buttler-308967           , https://www.google.com/search?q=site:wikipedia.org+JC Buttler+cricket+Player          , https://en.wikipedia.org/wiki/Jos_Buttler                           , Jos ButtlerMBE         , Joseph Charles Buttler                             , Right-handed,                                           ,,, England (2011–present),Wicketkeeper-batsman
311592, MA Starc            , https://www.espncricinfo.com/cricketers/ma-starc-311592             , https://www.google.com/search?q=site:wikipedia.org+MA Starc+cricket+Player            , https://en.wikipedia.org/wiki/Mitchell_Starc                        , Mitchell Starc         , Mitchell Aaron Starc                               , Left-handed , Left-arm fast                             ,,, Australia (2010–present),Bowler
321777, DA Miller           , https://www.espncricinfo.com/cricketers/da-miller-321777            , https://www.google.com/search?q=site:wikipedia.org+DA Miller+cricket+Player           , https://en.wikipedia.org/wiki/David_Miller_(South_African_cricketer), David Miller           , David Andrew Miller                                , Left-handed , Right-arm off break                       ,,, South Africa (2010–present),Middle-order
325012, MP Stoinis          , https://www.espncricinfo.com/cricketers/mp-stoinis-325012           , https://www.google.com/search?q=site:wikipedia.org+MP Stoinis+cricket+Player          , https://en.wikipedia.org/wiki/Marcus_Stoinis                        , Marcus Stoinis         , Marcus Peter Stoinis                               , Right-handed, Right-arm medium                          ,,, Australia (2015–2024),Batter
325026, GJ Maxwell          , https://www.espncricinfo.com/cricketers/gj-maxwell-325026           , https://www.google.com/search?q=site:wikipedia.org+GJ Maxwell+cricket+Player          , https://en.wikipedia.org/wiki/Glenn_Maxwell                         , Glenn Maxwell          , Glenn James Maxwell                                , Right-handed, Right-arm off break                       ,,, Australia (2012–present),Batter
326016, B Kumar             , https://www.espncricinfo.com/cricketers/b-kumar-326016              , https://www.google.com/search?q=site:wikipedia.org+B Kumar+cricket+Player             , https://en.wikipedia.org/wiki/Bhuvneshwar_Kumar                     , Bhuvneshwar Kumar      , Bhuvneshwar Kumar Singh                            , Right-handed, Right-arm medium                          ,,, India (2012–2022),Bowler
