Player_ID,Player,Full_Name,Born,Current_Age,Bats,Bowls,Matches,Died
4659,Basil Thampi,Basil Thampi,"11th September, 1993",31 years 262 days,Right Handed,Right Arm Medium,25 (2017-2022),
7217,P A Basith,Pappanayil Abdul Basith,"9th October, 1998",26 years 234 days,Right Handed,Right Arm Off Break,1 (2023-2023),
6528,R A Bawa,Raj Angad Bawa,"12th November, 2002",22 years 200 days,Left Handed,Right Arm Medium Fast,3 (2022-),
4655,A R Bawne,Ankit Ramdas Bawne,"17th December, 1992",32 years 165 days,Right Handed,Right Arm Off Break,1 (2017-2017),
3951,F Behardien,Farhaan Behardien,"9th October, 1983",41 years 234 days,Right Handed,Right Arm Fast Medium,3 (2016-2016),
4705,J P Behrendorff,Jason Paul Behrendorff,"20th April, 1990",35 years 41 days,Right Handed,Left Arm Fast Medium,17 (2019-2023),
8031,J G Bethell,Jacob Graham Bethell,"23rd October, 2003",21 years 220 days,Left Handed,Left Arm Orthodox,2 (2025-),
7219,M Bhandage,Manoj Bhandage,"5th October, 1998",26 years 238 days,,,1 (2025-),
4384,K S Bharat,Kona Srikar Bharat,"3rd October, 1993",31 years 240 days,Right Handed,,10 (2021-2022),
4054,R Bhatia,Rajat Bhatia,"22nd October, 1986",38 years 221 days,Right Handed,,95 (2008-2017),
4211,R R  Bhatkal,Raju R Bhatkal,"1st September, 1985",39 years 272 days,Right Handed,Right Arm Medium,1 (2012-2012),
4040,B A  Bhatt,Bhargav A Bhatt,"13th May, 1990",35 years 18 days,Left Handed,Left Arm Orthodox,17 (2011-2013),
4409,R K Bhui,Ricky Kannakumar Bhui,"29th September, 1996",28 years 244 days,Right Handed,Right Arm Leg Break,4 (2018-),
4159,A A  Bilakhia,Azharuddin A Bilakhia,"31st May, 1986",39 years 0 days,Right Handed,Right Arm Medium,7 (2009-2010),
4428,S W Billings,Samuel William Billings,"15th June, 1991",33 years 350 days,Right Handed,,30 (2016-2022),
4089,S T R Binny,Stuart T R Binny,"3rd June, 1984",40 years 362 days,Right Handed,Right Arm Medium,95 (2010-2019),
4041,Bipul Sharma,Bipul Sharma,"28th September, 1983",41 years 245 days,Left Handed,Left Arm Orthodox,33 (2010-2017),
4075,U A  Birla,Udit A Birla,"17th October, 1989",35 years 226 days,Right Handed,Right Arm Medium,2 (2013-2013),
3757,T R Birt,Travis R Birt,"9th December, 1981",43 years 173 days,Left Handed,Right Arm Medium Fast,5 (2011-2011),
4152,R  Bishnoi,Rajesh Bishnoi,"8th October, 1987",37 years 235 days,Right Handed,Left Arm Fast Medium,3 (2009-2009),
4055,M S  Bisla,Manvinder S Bisla,"27th October, 1984",40 years 216 days,Right Handed,,39 (2010-2015),
4061,A C  Blizzard,Aiden C Blizzard,"27th June, 1984",40 years 338 days,Left Handed,Left Arm Medium,7 (2011-2012),
4511,S M Boland,Scott M Boland,"11th April, 1989",36 years 50 days,Right Handed,Right Arm Fast Medium,2 (2016-2016),
3631,D E Bollinger,Douglas E Bollinger,"24th July, 1981",43 years 311 days,Left Handed,Left Arm Fast Medium,27 (2010-2012),
2996,S E Bond,Shane Edward Bond,"7th June, 1975",49 years 358 days,Right Handed,Right Arm Fast,8 (2010-2010),
3460,R S Bopara,Ravinda Singh Bopara,"4th May, 1985",40 years 27 days,Right Handed,Right Arm Medium,24 (2009-2015),
8222,C Bosch,Corbin Bosch,"10th September, 1994",30 years 263 days,Right Handed,Right Arm Fast Medium,3 (2025-),
4158,R R  Bose,Ranadeb R Bose,"27th February, 1979",46 years 93 days,Right Handed,Right Arm Fast Medium,1 (2009-2009),
3329,J Botha,Johan Botha,"2nd May, 1982",43 years 29 days,Right Handed,Right Arm Off Break,34 (2009-2015),
2116,M V Boucher,Mark Verdon Boucher,"3rd December, 1976",48 years 179 days,Right Handed,,31 (2008-2011),
3924,T A Boult,Trent Alexander Boult,"22nd July, 1989",35 years 313 days,Right Handed,Left Arm Fast Medium,118 (2015-),
7790,BR Sharath,Belur Ravi Sharath,"28th September, 1996",28 years 245 days,Right Handed,,1 (2024-),
3911,D A J Bracewell,Douglas A J Bracewell,"28th September, 1990",34 years 245 days,Right Handed,Right Arm Medium,1 (2012-2012),
6547,M G Bracewell,Michael Gordeon Bracewell,"14th February, 1991",34 years 106 days,Left Handed,Right Arm Off Break,5 (2023-2023),
